,tweet_id,text,dog_name,DoggoLingo,jpg_url,dog_breed,favorite_count,retweet_count,rating_ratio
0,892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,,39467,8853,1.3
1,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,chihuahua,33819,6514,1.3
2,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,chihuahua,25461,4328,1.2
3,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,,42908,8964,1.3
4,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,41048,9774,1.2
5,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,chesapeake bay retriever,20562,3261,1.3
6,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,appenzeller,12041,2158,1.3
7,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,pomeranian,56848,16716,1.3
8,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,irish terrier,28226,4429,1.3
9,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,pembroke,32467,7711,1.4
10,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,samoyed,31166,7624,1.3
11,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,french bulldog,28268,5156,1.3
12,889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,pembroke,38818,8538,1.3
13,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Ted,,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,french bulldog,27672,4735,1.2
14,889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,Stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden retriever,15359,2321,1.3
15,889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Oliver,,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,25652,5637,1.3
16,888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,Jim,,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden retriever,29611,4709,1.2
17,888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,Zeke,,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden retriever,26080,4559,1.3
18,888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,Ralphus,,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,siberian husky,20290,3732,1.3
19,888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,Gerald,,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,french bulldog,22201,3653,1.2
20,887705289381826560,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,Jeffrey,,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,30779,5609,1.3
21,887517139158093824,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,Such,,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,,46959,12082,1.4
22,887473957103951883,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,Canela,,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,pembroke,69871,18781,1.3
